GAP_between_Create_Last,TOTAL_EXPENSED_AMOUNT,APPROVED_AMT,PAID_IN_AMOUNT_ALLOCATION,EXPENSE_TYPE_DESC,CITY,Label
49,6652.68,59.5,59.5,其它差旅费,上海,1
49,6652.68,32,32,出租车费,上海,1
9,26360.32,111.5,111.5,餐费,上海,1
0,14410.71,84,84,餐费,北京,1
9,7294.69,290,290,其它差旅费,上海,1
0,6836.32,116.4,116.4,办公室小食,无锡,1
9,26360.32,169.74,169.74,餐费,上海,1
9,26360.32,3117.92,3117.92,旅馆房费-海外,上海,1
9,26360.32,298.62,298.62,其它差旅费,上海,1
0,14742.75,613.5,613.5,其它差旅费,上海,1
0,14742.75,613.5,613.5,其它差旅费,上海,1
0,992,21,21,出租车费,北京,1
2,22994.15,45.5,45.5,餐费,武汉,1
34,5990.2,42,42,其它差旅费,海口,1
34,5990.2,328,328,旅馆房费-国内,海口,1
5,9729.1,399,399,餐费,上海,1
0,8801.5,500,500,旅馆房费-国内,上海,1
1,9994,2834,2834,餐费,南通,1
5,9861.5,600,600,出租车费,北京,1
0,29168.79,226,226,出租车费,上海,1
0,29168.79,1374,1374,员工团队用餐及活动,上海,1
1,9191,239,239,餐费,北京,1
0,3860,300,300,出租车费,北京,1
7,8883.7,194,194,餐费,南京,1
7,8883.7,100,100,补贴,南京,1
7,8883.7,695,695,旅馆房费-国内,南京,1
7,8883.7,254.5,254.5,其它差旅费,南京,1
7,8883.7,450,450,出租车费,南京,1
21,2498,110.5,110.5,其它差旅费,温州,1
15,24983,2996,2996,餐费,北京,1
3,682,210,210,其它个人费用,上海,1
0,11012,44,44,出租车费,上海,1
2,15497,2329,2329,餐费,青岛,1
3,11411.17,123,123,餐费,上海,1
2,14213.5,142,142,餐费,哈尔滨,1
26,4408,1592,1592,餐费,北京,1
0,11012,53,53,出租车费,上海,1
7,5174,156,156,餐费,杭州,1
0,11012,55,55,出租车费,上海,1
7,8883.7,575,575,旅馆房费-国内,南京,1
7,24662,416,416,办公室小食,上海,1
21,2498,92,92,其它差旅费,温州,1
0,7422.6,290,290,餐费,三亚,1
19,7021.5,114,114,餐费,郑州,1
9,24168.3,295,295,餐费,北京,1
9,24168.3,153,153,餐费,北京,1
5,1823.09,188,188,餐费,北京,1
0,2091.86,200,200,出租车费,北京,1
0,10597.27,2179.97,2179.97,旅馆房费-国内,南京,1
0,10597.27,273,273,出租车费,南京,1
0,11730.5,519,519,出租车费,上海,1
3,4966.4,160,160,汽油费,南京,1
78,7031,226,226,餐费,北京,1
0,11117.8,102,102,出租车费,上海,1
0,7892.95,148,148,出租车费,郑州,1
0,7892.95,15,15,出租车费,郑州,1
22,13898.18,390,390,办公室小食,武汉,1
10,15192.2,1935,1935,办公室小食,北京,1
5,9756.6,121,121,餐费,长春,1
34,16127.5,269,269,餐费,广州,1
8,9596,112,112,餐费,北京,1
5,1796,1796,1796,餐费,长春,1
70,12157,21,21,出租车费,北京,1
0,5080.13,65.5,65.5,其它差旅费,上海,1
3,7368.11,50,50,补贴,上海,1
3,7368.11,50,50,补贴,上海,1
3,7368.11,154,154,出租车费,上海,1
3,7368.11,5,5,其它差旅费,上海,1
0,15680,200,200,餐费,广州,1
8,7124.49,90,90,餐费,南京,1
6,3268.91,46,46,邮寄费用,南京,1
3,7368.11,269,269,旅馆房费-国内,上海,1
0,10597.27,100,100,补贴,南京,1
3,7368.11,157,157,出租车费,上海,1
0,16832.07,145.5,145.5,其它差旅费,南京,1
20,7239.09,490,490,餐费,南京,1
6,11913.2,100,100,补贴,佛山,1
6,19415.3,156,156,餐费,上海,1
5,14750.5,99.8,99.8,办公室小食,淄博,1
1,17363.8,602.3,602.3,移动电话费,武汉,1
8,7124.49,1035,1035,旅馆房费-国内,南京,1
8,7124.49,902,902,餐费,南京,1
70,12157,24,24,出租车费,北京,1
3,7368.11,154,154,出租车费,上海,1
3,7368.11,5,5,其它差旅费,上海,1
0,2091.86,200,200,出租车费,北京,1
9,13475,2989,2989,办公室小食,北京,1
9,26360.32,142.67,142.67,出租车费,上海,1
1,9816,58,58,出租车费,上海,1
0,6836.32,59.5,59.5,其它差旅费,无锡,1
0,6836.32,119,119,出租车费,无锡,1
0,9174.89,191,191,餐费,上海,1
9,26360.32,475.42,475.42,餐费,上海,1
9,26360.32,185.21,185.21,其它差旅费,上海,1
12,24254.26,2868,2868,餐费,上海,1
5,12933.3,335,335,餐费,深圳,1
1,9961,1500,1500,印刷及办公费用,成都,1
0,15327.4,38,38,出租车费,上海,1
0,15327.4,25,25,出租车费,上海,1
2,4248,404,404,餐费,青岛,1
0,15327.4,14,14,出租车费,上海,1
0,14607,90,90,出租车费,北京,1
0,15327.4,29,29,出租车费,上海,1
1,24969.06,100,100,补贴,上海,1
4,8442.36,59,59,餐费,北京,1
1,9333.3,246,246,办公室小食,武汉,1
